POS Txn,Dept,ID,Sales U
16120100160033000000,FASHION ACCESSORIES,27,1
16120100160035000000,FASHION ACCESSORIES,27,2
16120100160035000000,FASHION ACCESSORIES,27,1
16120100160036000000,FASHION ACCESSORIES,27,3
16120100160036000000,FASHION ACCESSORIES,27,2
16120100160037000000,FASHION ACCESSORIES,27,1
16120100160038000000,FASHION ACCESSORIES,27,1
16120100160038000000,FASHION ACCESSORIES,27,4
16120100160038000000,FASHION ACCESSORIES,27,2
16120100160079000000,FASHION ACCESSORIES,27,-1
16120100160031000000,WOMENS FTWR:DRS/CAS,28,2
16120100160031000000,WOMENS FTWR:DRS/CAS,28,1
16120100160031000000,WOMENS FTWR:DRS/CAS,28,1
16120100160032000000,WOMENS FTWR:DRS/CAS,28,1
16120100160033000000,WOMENS FTWR:DRS/CAS,28,1
16120100160034000000,WOMENS FTWR:DRS/CAS,28,2
16120100160035000000,WOMENS FTWR:DRS/CAS,28,1
16120100160036000000,WOMENS FTWR:DRS/CAS,28,1
16120100160037000000,WOMENS FTWR:DRS/CAS,28,1
16120100160038000000,WOMENS FTWR:DRS/CAS,28,1
16120100160077000000,WOMENS FTWR:DRS/CAS,28,-1
16120100160077000000,WOMENS FTWR:DRS/CAS,28,-1
16120100160077000000,WOMENS FTWR:DRS/CAS,28,-1
16120100160078000000,WOMENS FTWR:DRS/CAS,28,1
16120100160078000000,WOMENS FTWR:DRS/CAS,28,0
16120100160078000000,WOMENS FTWR:DRS/CAS,28,-1
16120100160079000000,WOMENS FTWR:DRS/CAS,28,-1
16120100160079000000,WOMENS FTWR:DRS/CAS,28,-1
16120100160094000000,WOMENS FTWR:DRS/CAS,28,2
16120100160024000000,WOMENS ATHLTIC SHOES,29,1
16120100160035000000,WOMENS ATHLTIC SHOES,29,1
16120100160036000000,WOMENS ATHLTIC SHOES,29,2
16120100160036000000,WOMENS ATHLTIC SHOES,29,1
16120100160036000000,WOMENS ATHLTIC SHOES,29,1
16120100160079000000,WOMENS ATHLTIC SHOES,29,-1
16120100160079000000,WOMENS ATHLTIC SHOES,29,-1
16120100160101000000,WOMENS ATHLTIC SHOES,29,1
16120100160031000000,MENS OUTERWEAR,30,1
16120100160034000000,MENS OUTERWEAR,30,1
16120100160037000000,MENS OUTERWEAR,30,1
16120100160078000000,MENS OUTERWEAR,30,-1
16120100160079000000,MENS OUTERWEAR,30,-1
16120100160031000000,MNS TAILORED CLOTHNG,31,1
16120100160036000000,MNS TAILORED CLOTHNG,31,1
16120100160037000000,MNS TAILORED CLOTHNG,31,1
16120100160078000000,MNS TAILORED CLOTHNG,31,-2
16120100160031000000,MENS CASUAL SLACKS,32,1
16120100160035000000,MENS CASUAL SLACKS,32,2
16120100160036000000,MENS CASUAL SLACKS,32,1
16120100160036000000,MENS CASUAL SLACKS,32,1
16120100160038000000,MENS CASUAL SLACKS,32,1
16120100160078000000,MENS CASUAL SLACKS,32,-1
16120100160022000000,MENS DENIM JEANS,34,1
16120100160023000000,MENS DENIM JEANS,34,1
16120100160023000000,MENS DENIM JEANS,34,1
16120100160031000000,MENS DENIM JEANS,34,3
16120100160031000000,MENS DENIM JEANS,34,2
16120100160031000000,MENS DENIM JEANS,34,1
16120100160031000000,MENS DENIM JEANS,34,2
16120100160035000000,MENS DENIM JEANS,34,1
16120100160035000000,MENS DENIM JEANS,34,1
16120100160036000000,MENS DENIM JEANS,34,2
16120100160036000000,MENS DENIM JEANS,34,1
16120100160037000000,MENS DENIM JEANS,34,1
16120100160037000000,MENS DENIM JEANS,34,2
16120100160038000000,MENS DENIM JEANS,34,1
16120100160077000000,MENS DENIM JEANS,34,0
16120100160162000000,MENS DENIM JEANS,34,2
16120100160033000000,LIFE STYLE DENIM,35,1
